ID,GLOSS,CONCEPTICON_ID,CONCEPTICON_GLOSS
658,"WALKING STICK/STAFF",,
660,"ABUNDANCE",,
661,"ACCEPT",,
663,"ACHIEVE",,
665,"ADHERE",,
667,"ADVISE",,
668,"AFFECT",,
669,"AFTER/acp",,
670,"AGGRESSIVE",,
672,"AGREE",,
674,"ALIKE",,
675,"ALMOST",,
677,"ALRIGHT",,
678,"ALSO",,
679,"ALTHOUGH",,
680,"AND/WITH",,
681,"ANGLE",,
686,"ANYONE",,
688,"AROUND",,
690,"AS/LIKE",,
691,"ASCEND",,
692,"ASK",,
693,"ATTIC",,
695,"AVENGE",,
696,"AWHILE",,
697,"BACKWARDS",,
698,"BADGER",,
702,"BARK/v",,
704,"BEAK/BILL",,
705,"BEAN POD",,
706,"BEAR/fruit",,
707,"BEAR/GIVE BIRTH",,
710,"BEFORE/acp",,
712,"BEHIND/ap",,
715,"BELONG",,
717,"BIRD/varieties",,
720,"BLOOM",,
721,"BOIL/v",,
723,"BORED",,
725,"BOTHER",,
728,"BOUNCE",,
730,"BOW/v",,
732,"BRAZIER",,
733,"BREAK",,
734,"BRIEF",,
735,"BRIEFLY",,
739,"BUG/INSECT",,
741,"BUSY",,
744,"CAPTURE",,
745,"CARE FOR/TEND",,
746,"CAREFUL",,
748,"CEDAR",,
751,"CHANT",,
752,"CHASE",,
754,"CHICKEN POX",,
755,"CHOL",,
759,"CLING",,
760,"CLOSE/SHUT",,
763,"COLD/FEVER",,
765,"COMET",,
767,"COMPLAIN",,
768,"COMPLETELY",,
769,"CONCAVE",,
770,"CONFUSE",,
771,"CONGREGATE",,
772,"CONTACT",,
773,"CONTENTS",,
774,"CONTINUE",,
775,"COOK",,
776,"CORN:damaged",,
777,"CORN:de-grain",,
778,"CORN:drink",,
779,"CORN:gruel/posole",,
780,"CORN:kernels",,
781,"CORN:other",,
782,"CORN:silk",,
784,"CORNSTALK",,
785,"COROZO",,
787,"COVER/TOP",,
789,"CRAMP",,
790,"CRASH",,
792,"CRISS-CROSS",,
793,"CROSS-ROADS",,
794,"CROSS/n",,
795,"CROSS/v",,
796,"CROWN",,
797,"CRY OUT",,
798,"CRY/WEEP",,
801,"CURL/CURLY",,
802,"CURVE",,
804,"DECAY",,
805,"DECEIVE/BETRAY",,
807,"DELICIOUS",,
808,"DEMAND",,
809,"DEROGATORY",,
810,"DESCEND",,
812,"DIARRHEA",,
813,"DIBBLE STICK",,
816,"DISCLOSE",,
818,"DISPUTE",,
819,"DISTILL",,
820,"DISTRIBUTE",,
822,"DOGFISH",,
825,"DRESS/v",,
826,"DRILL/BORE",,
827,"DROP/v",,
829,"DWELL",,
830,"EACH/EVERY",,
831,"EEL",,
832,"EIGHT HUNDRED",,
833,"EIGHT THOUSAND",,
835,"ENCHANTMENT/CURSE",,
836,"ENERGETIC",,
837,"ENJOY",,
841,"EVERYWHERE",,
842,"EXACTLY",,
843,"EXCLAMATION/varieties",,
844,"EXPLODE",,
845,"FAST/v",,
847,"FEEL/SENSE",,
848,"FERN",,
849,"FIESTA",,
850,"FIG TREE",,
853,"FINGER/index",,
855,"FISH/varieties",,
858,"FLASH",,
859,"FLIP",,
860,"FLOOD",,
861,"FLOWER/varieties",,
862,"FLUFFY",,
865,"FONTANELLE",,
866,"FOR",,
867,"FORCE",,
869,"FORK/of tree",,
874,"FUMIGATE",,
875,"FUNERAL",,
877,"GATHER/PICK UP",,
878,"GERMS",,
879,"GIFT",,
880,"GOAL",,
881,"GOD/varieties",,
882,"GODCHILD",,
883,"GOODBYE",,
885,"GRAIN/of something",,
887,"GRATIS",,
888,"GREED",,
889,"GREET",,
891,"GROIN",,
892,"GROUP",,
894,"GRUNT",,
895,"GUARD/DEFEND",,
896,"GUITAR",,
897,"GUMS/of teeth",,
898,"HABIT",,
899,"HALF/MIDDLE",,
900,"HALLUCINATE",,
901,"HANG",,
905,"HELLO",,
907,"HIDE/v",,
908,"HOLD/TAKE",,
914,"HURRICANE",,
916,"IGNITE",,
918,"IMMERSE",,
919,"IN-LAW",,
920,"IN/TO/AT",,
922,"INJECT",,
924,"INSINCERE",,
925,"INSIST",,
926,"INSULT",,
928,"INTERPRETER",,
929,"INTERRUPT",,
930,"INTERSECTION",,
931,"INVISIBLE",,
936,"KEEP IN",,
937,"KEEP OUT",,
940,"KITE",,
942,"LABOR/of childbirth",,
944,"LAST/FINAL",,
945,"LAYER",,
946,"LEAD/v",,
947,"LEAN/v",,
949,"LEMON",,
951,"LEST",,
953,"LIE/FIB",,
954,"LINGER",,
959,"MAHOGANY",,
960,"MARKER/benefactive",,
961,"MARKER/causative",,
962,"MARKER/completive",,
963,"MARKER/feminine",,
964,"MARKER/future tense",,
965,"MARKER/gerund",,
966,"MARKER/intensifier",,
967,"MARKER/masculine",,
968,"MARKER/nominalizer",,
969,"MARKER/passive",,
970,"MARKER/past tense",,
