ID,NAME,ISO,GLOTTOCODE,GLOTTOLOG_NAME
,"Bahnar-Golar",,gola1254,
,"Bahnar-Kontum",,kont1244,
,"Bahnar-Pleiku",,bahn1262,
,"Mankong",,soma1241,
,"Khmu-Yuan",,yuan1241,
,"Khasi",,khas1269,
,"Bumang",bvp,,
