ID,NAME,ISO,GLOTTOCODE,GLOTTOLOG_NAME
mo,"Missouria",,miss1249,
pma,"Pre-Mandan",,,
pbo,"Proto-Biloxi-Ofo",,bilo1247,
pca,"Proto-Catawba",,cata1285,Catawban
pch,"Proto-Crow-Hidatsa",,miss1252,
pda,"Proto-Dakota",,dako1257,
pdh,"Proto-Dhegiha",,dheg1241,
pwc,"Proto-Hoocąk-Chiwere",,winn1245,
pmv,"Proto-Mississipi-Valley",,miss1254,
psi,"Proto-Siouan",sio,core1249,
psc,"Proto-Siouan-Catawba",,siou1252,
pse,"Proto-Southeastern",,sout2988,
sv,"Sioux Valley",,,
