ID,GLOSS,CONCEPTICON_ID,CONCEPTICON_GLOSS
1,"no, not",,
15,"sharp (blade)",,
37,"grease, fat",,
39,"horn",,
50,"claw, nail",2128,
57,"navel, bellybutton",1838,
60,"heart, corazón",1223,
68,"know",,
72,"fly",1441,
75,"lie",,
76,"sit (sit down)",,
77,"stand (stand up)",,
88,"rain",,
90,"stone, rock",,
92,"earth",,
95,"smoke",,
99,"path, road",,
110,"Three; tres",492,
114,"I",1209,
115,"you (sing.)",,
